Center image ,Left image,Right image,Steering,trottle,Break,Speed
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_08_757.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_08_757.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_08_757.jpg,0,0,0,2.64E-06
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_08_828.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_08_828.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_08_828.jpg,0,0,0,2.92E-06
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_08_896.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_08_896.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_08_896.jpg,0,0,0,2.85E-06
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_08_969.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_08_969.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_08_969.jpg,0,0,0,7.36E-06
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_09_041.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_09_041.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_09_041.jpg,0,0,0,1.28E-06
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_09_112.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_09_112.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_09_112.jpg,0,0.1371416,0,0.09652751
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_09_189.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_09_189.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_09_189.jpg,0,0.3886194,0,0.3503048
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_09_261.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_09_261.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_09_261.jpg,0,0.5591765,0,0.6370287
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_09_329.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_09_329.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_09_329.jpg,0,0.8109967,0,1.308063
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_09_397.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_09_397.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_09_397.jpg,0,0.9893802,0,2.01155
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_09_463.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_09_463.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_09_463.jpg,0,1,0,2.711016
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_09_540.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_09_540.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_09_540.jpg,0,1,0,3.647487
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_09_613.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_09_613.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_09_613.jpg,0,1,0,4.585396
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_09_682.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_09_682.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_09_682.jpg,-0.05,1,0,5.282321
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_09_757.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_09_757.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_09_757.jpg,-0.25,1,0,6.194356
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_09_826.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_09_826.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_09_826.jpg,-0.04614673,1,0,7.108973
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_09_899.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_09_899.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_09_899.jpg,0,1,0,7.78943
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_09_973.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_09_973.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_09_973.jpg,0,1,0,8.693217
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_10_048.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_10_048.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_10_048.jpg,0,1,0,9.590213
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_10_114.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_10_114.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_10_114.jpg,0,1,0,10.25835
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_10_189.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_10_189.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_10_189.jpg,0,1,0,11.14304
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_10_255.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_10_255.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_10_255.jpg,-0.15,1,0,11.63216
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_10_329.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_10_329.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_10_329.jpg,-0.1518869,1,0,12.52567
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_10_401.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_10_401.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_10_401.jpg,0,1,0,13.33018
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_10_474.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_10_474.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_10_474.jpg,0,1,0,14.16813
